"","mu","N_p","N_t","sigma_b","sigma_w","seeds","SC_p","SC_statistic","ABS_ES_p","ABS_ES_statistic","GNT_p","GNT_ci_low","GNT_ci_high","Test","Power"
"39",0,10,500,1.5,10,500.5,0.0714589541045895,0.698407,0.0302620737926207,0.138713975074047,0.090136901519399,0.106241073549038,1,"GNT",0.655
"40",0,30,50,1.5,10,500.5,0.30851704829517,0.536746333333333,0.273717728227177,0.258160366602749,0.408662949591561,0.0234188813732648,1,"GNT",0.088
"41",0,30,100,1.5,10,500.5,0.181859814018598,0.568512333333333,0.134917708229177,0.199847325900977,0.253917327329377,0.0388868088380711,1,"GNT",0.245
"42",0,30,500,1.5,10,500.5,0.00644605539446055,0.696934333333333,0.00100609939006099,0.139008129282872,0.00292411358468616,0.180207708378276,1,"GNT",0.977
"43",0,50,50,1.5,10,500.5,0.245329467053295,0.53907824,0.20875202479752,0.259594808305766,0.322373755147433,0.031992056053974,1,"GNT",0.231
"44",0,50,100,1.5,10,500.5,0.116215878412159,0.56828656,0.0737306269373063,0.199884156403151,0.153829728271926,0.051615767167525,1,"GNT",0.526
"45",0,50,500,1.5,10,500.5,0.000341065893410659,0.69877568,0.000103789621037896,0.139734646518391,0.000106400030812645,0.209850992970577,1,"GNT",1
"46",1,10,50,1.5,10,500.5,0.347982301769823,0.5516512,0.316350764923508,0.270650788128134,0.533054924642863,0.0147793991997597,1,"GNT",0.059
"47",1,10,100,1.5,10,500.5,0.230565743425657,0.5951352,0.186652934706529,0.216948080085368,0.378499850304522,0.0292574544173236,1,"GNT",0.152
"48",1,10,500,1.5,10,500.5,0.0458882111788821,0.7328518,0.0123059694030597,0.160154369316763,0.0412386262737867,0.152840423586454,1,"GNT",0.799
"49",1,30,50,1.5,10,500.5,0.246550144985501,0.550644466666667,0.20409699030097,0.269958819477985,0.331588139391826,0.0294506991264572,1,"GNT",0.138
"50",1,30,100,1.5,10,500.5,0.108119588041196,0.592467333333333,0.0672777722227777,0.215493737863955,0.156018020203158,0.0549752305504322,1,"GNT",0.407
"51",1,30,500,1.5,10,500.5,0.00105869413058694,0.734319133333333,0.000107589241075892,0.160773721764238,0.00059559768295236,0.239582251157422,1,"GNT",0.997
"52",1,50,50,1.5,10,500.5,0.17316498350165,0.55386432,0.132129287071293,0.271820796899387,0.241337077597363,0.0401989515692656,1,"GNT",0.357
"53",1,50,100,1.5,10,500.5,0.0596112388761124,0.59163812,0.0276686331366863,0.215411635516484,0.0779472267018312,0.0706183972860424,1,"GNT",0.718
"54",1,50,500,1.5,10,500.5,0.000156184381561844,0.73649024,0.0001000899910009,0.161487508638384,1.39117010944135e-06,0.273817839058682,1,"GNT",1
